
2015-04-18 20:58:20,656INFO [Test.one(Test.java:27)] into one method
2015-04-19 11:28:43,622INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1656 document
 
2015-04-19 11:28:52,575INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1533 document
 
2015-04-19 11:29:01,036INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1341 document
 
2015-04-19 11:29:09,355INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1318 document
 
2015-04-19 11:29:17,860INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1323 document
 
2015-04-19 11:29:25,986INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1042 document
 
2015-04-19 11:29:33,965INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1054 document
 
2015-04-19 11:29:41,685INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 932 document
 
2015-04-19 11:29:49,359INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 871 document
 
2015-04-19 11:29:57,399INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 810 document
 
2015-04-19 11:30:04,716INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 659 document
 
2015-04-19 11:30:11,521INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 519 document
 
2015-04-19 11:30:19,040INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 402 document
 
2015-04-19 11:30:33,773INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 4176 document
 
2015-04-19 11:30:43,902INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 6412 document
 
2015-04-19 11:30:53,444INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 4579 document
 
2015-04-19 11:31:03,062INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 4595 document
 
2015-04-19 11:31:12,803INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 4489 document
 
2015-04-19 11:31:22,207INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 3888 document
 
2015-04-19 11:31:31,479INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 3085 document
 
2015-04-19 11:31:40,489INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 3118 document
 
2015-04-19 11:31:49,701INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 3067 document
 
2015-04-19 11:31:59,070INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 3060 document
 
2015-04-19 11:32:08,137INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 3102 document
 
2015-04-19 11:32:17,379INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 2444 document
 
2015-04-19 11:32:26,174INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 2416 document
 
2015-04-19 11:32:35,002INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 2434 document
 
2015-04-19 11:32:43,893INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 2278 document
 
2015-04-19 11:32:52,673INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1955 document
 
2015-04-19 11:33:01,342INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1978 document
 
2015-04-19 11:33:10,098INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1960 document
 
2015-04-19 11:33:19,362INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1978 document
 
2015-04-19 11:33:28,082INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1896 document
 
2015-04-19 11:33:36,521INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1654 document
 
2015-04-19 11:33:45,008INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1643 document
 
2015-04-19 11:33:54,077INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1639 document
 
2015-04-19 11:34:02,467INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1361 document
 
2015-04-19 11:34:10,755INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1329 document
 
